iri,baseIri,instances,label/IRI-based,label/undefined,attributes/0,id,superClasses/0,pos/0,pos/1,subClasses/0,subClasses/1,subClasses/2,subClasses/3,subClasses/4,subClasses/5,subClasses/6,subClasses/7,subClasses/8,union/0,union/1,attributes/1
http://www.hozo.jp/rdf/startuplife.xml#Local_money,http://www.hozo.jp/rdf/startuplife.xml,0,Local_money,Local money,external,80,78,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#next,http://www.hozo.jp/rdf/startuplife.xml,0,next,next,external,43,29,1886.8485462986139,301.3845685738815,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Certification,http://www.hozo.jp/rdf/startuplife.xml,0,Certification,Certification,external,124,5,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#university,http://www.hozo.jp/rdf/startuplife.xml,0,university,university,external,58,1,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Finance,http://www.hozo.jp/rdf/startuplife.xml,0,Finance,Finance,external,121,5,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#equal,http://www.hozo.jp/rdf/startuplife.xml,0,equal,equal,external,41,29,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#tablet,http://www.hozo.jp/rdf/startuplife.xml,0,tablet,tablet,external,161,83,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#part-time_job,http://www.hozo.jp/rdf/startuplife.xml,0,part-time_job,part-time job,external,119,107,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#sameAs,http://www.hozo.jp/rdf/startuplife.xml,0,sameAs,sameAs,external,49,29,1905.000745499068,-489.8618283948348,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Location,http://www.hozo.jp/rdf/startuplife.xml,0,Location,Location,external,69,17,1336.4450453667826,1137.8295225509237,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Official_certification,http://www.hozo.jp/rdf/startuplife.xml,0,Official_certification,Official certification,external,89,9,568.3130243328039,1230.6827933730553,150,101,110,99,166,167,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#gym_card,http://www.hozo.jp/rdf/startuplife.xml,0,gym_card,gym card,external,150,89,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#suika_card,http://www.hozo.jp/rdf/startuplife.xml,0,suika_card,suika card,external,147,88,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#health_insurance,http://www.hozo.jp/rdf/startuplife.xml,0,health_insurance,health insurance,external,31,32,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Pay,http://www.hozo.jp/rdf/startuplife.xml,0,Pay,Pay,external,182,18,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#group,http://www.hozo.jp/rdf/startuplife.xml,0,group,group,external,104,1,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Take_bus,http://www.hozo.jp/rdf/startuplife.xml,0,Take_bus,Take bus,external,39,37,,,,,,,,,,,,,,
